"state_alpha2","year","race","mu","dimension"
"CT","1971","1",0.413496168229526,"all"
"DE","1971","1",0.45559370379196,"all"
"DC","1971","1",0.434386617035821,"all"
"FL","1971","1",0.456214345249139,"all"
"GA","1971","1",0.453453531949771,"all"
"HI","1971","1",0.433827944606223,"all"
"ID","1971","1",0.439918290734112,"all"
"IL","1971","1",0.428154712564473,"all"
"IN","1971","1",0.430772176640768,"all"
"IA","1971","1",0.411837766942221,"all"
"KS","1971","1",0.410283604778384,"all"
"KY","1971","1",0.450398337421901,"all"
"LA","1971","1",0.460190820902496,"all"
"ME","1971","1",0.416389700552273,"all"
"MD","1971","1",0.453911228999841,"all"
"MA","1971","1",0.414170101091411,"all"
"MI","1971","1",0.42943563442689,"all"
"MN","1971","1",0.409432497204388,"all"
"MS","1971","1",0.452991759609924,"all"
"MO","1971","1",0.408336888047712,"all"
"MT","1971","1",0.438475840866872,"all"
"NE","1971","1",0.411765547632971,"all"
"NV","1971","1",0.443119074965825,"all"
"NH","1971","1",0.415421402709428,"all"
"NJ","1971","1",0.435229700960815,"all"
"NM","1971","1",0.436099493623698,"all"
"NY","1971","1",0.433726627677873,"all"
"NC","1971","1",0.453920034281884,"all"
"ND","1971","1",0.409150296557244,"all"
"OH","1971","1",0.430257924197973,"all"
"OK","1971","1",0.460990581947948,"all"
"OR","1971","1",0.435993467910111,"all"
"PA","1971","1",0.438191678722916,"all"
"RI","1971","1",0.414291870395143,"all"
"SC","1971","1",0.453508088055813,"all"
"SD","1971","1",0.409575963074064,"all"
"TN","1971","1",0.451490687434227,"all"
"TX","1971","1",0.458082038056,"all"
"UT","1971","1",0.436299293108505,"all"
"VT","1971","1",0.41457961542479,"all"
"VA","1971","1",0.453121581981963,"all"
"WA","1971","1",0.436692568207406,"all"
"WV","1971","1",0.457018401221745,"all"
"WI","1971","1",0.429958671479827,"all"
"WY","1971","1",0.439302367952694,"all"
"all","1971","1",0.436469406209411,"all"
"AL","1972","1",0.48902936950728,"all"
"AK","1972","1",0.474156543923745,"all"
"AZ","1972","1",0.472264266316615,"all"
"AR","1972","1",0.497532254181291,"all"
"CA","1972","1",0.470112571007145,"all"
"CO","1972","1",0.471442577481878,"all"
"CT","1972","1",0.44890581797858,"all"
"DE","1972","1",0.491865788107165,"all"
"DC","1972","1",0.469108181680497,"all"
"FL","1972","1",0.492418941092973,"all"
"GA","1972","1",0.489704956386834,"all"
"HI","1972","1",0.469519034471612,"all"
"ID","1972","1",0.475763357906529,"all"
"IL","1972","1",0.463960287834824,"all"
"IN","1972","1",0.466799655421946,"all"
"IA","1972","1",0.447424931933036,"all"
"KS","1972","1",0.445654571154744,"all"
"KY","1972","1",0.486856145532437,"all"
"LA","1972","1",0.496447508765918,"all"
"ME","1972","1",0.452220324354,"all"
"MD","1972","1",0.489960983707774,"all"
"MA","1972","1",0.449541590959497,"all"
"MI","1972","1",0.465439603772787,"all"
"MN","1972","1",0.444876318589161,"all"
"MS","1972","1",0.489136585086217,"all"
"MO","1972","1",0.443940581695415,"all"
"MT","1972","1",0.474388414522314,"all"
"NE","1972","1",0.447153440899203,"all"
"NV","1972","1",0.479027623187553,"all"
"NH","1972","1",0.450972361489444,"all"
"NJ","1972","1",0.471106911648175,"all"
"NM","1972","1",0.472048631943341,"all"
"NY","1972","1",0.469580190277271,"all"
"NC","1972","1",0.490189245569158,"all"
"ND","1972","1",0.444525703817333,"all"
"OH","1972","1",0.466239229361055,"all"
"OK","1972","1",0.497267822354219,"all"
"OR","1972","1",0.471830037525786,"all"
"PA","1972","1",0.474237554186857,"all"
"RI","1972","1",0.449764389872152,"all"
"SC","1972","1",0.489748298015465,"all"
"SD","1972","1",0.445102521778179,"all"
"TN","1972","1",0.487797191738828,"all"
"TX","1972","1",0.494232671857697,"all"
"UT","1972","1",0.472146824776227,"all"
"VT","1972","1",0.450101450072033,"all"
"VA","1972","1",0.489102423505366,"all"
"WA","1972","1",0.472483816797591,"all"
"WV","1972","1",0.49346369896375,"all"
"WI","1972","1",0.465894981782468,"all"
