"race","income","year","count","rate","number","class"
"other","35000 to 49999",2015,8690,4.5,1931111.11111111,"middle"
"other","50000 to 74999",1993,33329,37.9,879393.139841689,"middle"
"other","50000 to 74999",1994,9351,9.9,944545.454545454,"middle"
"other","50000 to 74999",1995,33153,30.7,1079902.28013029,"middle"
"other","50000 to 74999",1996,13844,12.8,1081562.5,"middle"
"other","50000 to 74999",1997,8625,7.2,1197916.66666667,"middle"
"other","50000 to 74999",1998,10155,7.8,1301923.07692308,"middle"
"other","50000 to 74999",1999,10867,7.7,1411298.7012987,"middle"
"other","50000 to 74999",2000,5789,4.1,1411951.2195122,"middle"
"other","50000 to 74999",2001,9852,8,1231500,"middle"
"other","50000 to 74999",2002,2254,1.7,1325882.35294118,"middle"
"other","50000 to 74999",2003,7605,4.5,1690000,"middle"
"other","50000 to 74999",2004,6023,3.4,1771470.58823529,"middle"
"other","50000 to 74999",2005,16078,9,1786444.44444444,"middle"
"other","50000 to 74999",2006,26273,13,2021000,"middle"
"other","50000 to 74999",2007,22232,11,2021090.90909091,"middle"
"other","50000 to 74999",2008,15981,8.1,1972962.96296296,"middle"
